"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"Varun Beverages Limited",2024,2024,"https://nsearchives.nseindia.com/corporate/VBL_11032025174358_VBLNoticeAR2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1394994_11032025054427_WEB.xml","11-Mar-2025","-"
"Castrol India Limited",2024,2024,"https://nsearchives.nseindia.com/corporate/CASTROLINDIA_25022025195909_SE_Intimation_BRSRFY2024_25022025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1389867_25022025075940_WEB.xml","25-Feb-2025","25-Feb-2025"
"Cyient Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/CYIENT_19022025125655_BRSR2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1387421_19022025125706_WEB.xml","19-Feb-2025","-"
"Siemens Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SIEMENS57_14012025173818_Siemens-Limited-BRSR-2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1345203_14012025053859_WEB.xml","14-Jan-2025","-"
"Indraprastha Gas Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/IGL1_17122024163450_BRSRIGL.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1328008_17122024043540_WEB.xml","17-Dec-2024","-"
"Religare Enterprises Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/RELIGARE_07122024171106_RELIGAREAGMNOTICEAR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1324332_07122024051536_WEB.xml","07-Dec-2024","-"
"Future Consumer Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/FCEL1_05122024180848_FCLBRSR31032024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1323499_05122024061135_WEB.xml","05-Dec-2024","-"
"JEENA SIKHO LIFECARE LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/JEENASIKHO_29112024133437_SignedBRSRJeena2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320946_29112024013446_WEB.xml","29-Nov-2024","-"
"BF UTILITIES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/BFUTILITIE_28112024123201_BRSR_BFUL_28112024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320378_28112024123226_WEB.xml","28-Nov-2024","-"
"Network18 Media & Investments Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/Shambhu_27112024210620_NW18BRSRfiling27112024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320324_27112024090720_WEB.xml","27-Nov-2024","-"
"Procter & Gamble Health Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PGHL_13112024205531_PGHLBRSR2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1309940_13112024085542_WEB.xml","13-Nov-2024","-"
"Gillette India Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/GILLETTE_11112024205147_GILBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1304849_11112024085231_WEB.xml","11-Nov-2024","-"
"Procter & Gamble Hygiene and Health Care Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PGHH_05112024132250_PGHHbrsr2024Seintimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1296948_05112024012307_WEB.xml","05-Nov-2024","-"
"Zee Entertainment Enterprises Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ZEEL_05112024125938_BRSRFY244Nov24.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1296909_05112024010004_WEB.xml","05-Nov-2024","-"
"HMT LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/HMT_30102024195436_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1294815_30102024075737_WEB.xml","30-Oct-2024","-"
"THE ANDHRA SUGARS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/ANDHRSUGAR_19102024132947_ASLAnnualReport2324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1279792_19102024013001_WEB.xml","19-Oct-2024","-"
"Mahanagar Gas Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/KAMLESHMGL_18102024181735_MahanagarGasLimitedBRSR202324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1278632_18102024061755_WEB.xml","18-Oct-2024","-"
"NETWEB TECHNOLOGIES INDIA LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/NETWEB1234_14102024115435_BRSR_2023-2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1267501_14102024115506_WEB.xml","14-Oct-2024","-"
"ITI LIMITED",2024,2025,"https://nsearchives.nseindia.com/corporate/ITI_10102024182155_SE_Intimation_on_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1265258_10102024062627_WEB.xml","10-Oct-2024","-"
